text,label
I feel so hopeless and empty inside. Nothing brings me joy anymore.,Depressed
I can't get out of bed. Everything feels pointless.,Depressed
I'm so tired of pretending to be okay. I just want it all to end.,Depressed
Nobody understands what I'm going through. I feel so alone.,Depressed
I hate myself and everything about my life.,Depressed
I can't stop crying. The pain is unbearable.,Depressed
I feel like a burden to everyone around me.,Depressed
What's the point of trying anymore? Nothing ever works out.,Depressed
I'm exhausted all the time but can't sleep at night.,Depressed
I feel numb. I can't feel anything anymore.,Depressed
Had a great day at work today! Feeling accomplished.,Non-Depressed
Looking forward to the weekend with friends.,Non-Depressed
Just finished a good book. Highly recommend it!,Non-Depressed
Beautiful weather today. Going for a walk in the park.,Non-Depressed
Grateful for my family and their support.,Non-Depressed
Excited about my new project. Can't wait to get started!,Non-Depressed
Had a delicious dinner tonight. Trying new recipes is fun.,Non-Depressed
Feeling energized after my morning workout.,Non-Depressed
Love spending time with my pets. They always make me smile.,Non-Depressed
Planning a trip next month. So excited to explore new places!,Non-Depressed
